generation, team A best, team A current, team B best, team B current, Dropped %
69, 0.2, 0.2, 0.2, 0.2, 0.0952381
70, 0.2, 0.2, 0.2, 0.2, 0.0952381
71, 0.2, 0.2, 0.2, 0.2, 0.0952381
72, 0.2, 0.2, 0.2, 0.2, 0.0952381
73, 0.2, 0.2, 0.2, 0.2, 0.0952381
74, 0.2, 0.2, 0.2, 0.2, 0.0952381
75, 0.2, 0.2, 0.2, 0.2, 0.0952381
76, 0.2, 0.2, 0.2, 0.2, 0.0952381
77, 0.2, 0.2, 0.2, 0.2, 0.0952381
78, 0.2, 0.2, 0.2, 0.2, 0.0952381
79, 0.2, 0.2, 0.2, 0.2, 0.0952381
80, 0.2, 0.2, 0.2, 0.2, 0.0952381
81, 0.2, 0.2, 0.2, 0.2, 0.0952381
82, 0.2, 0.2, 0.2, 0.2, 0.0952381
83, 0.2, 0.2, 0.2, 0.2, 0.0952381
84, 0.2, 0.2, 0.2, 0.2, 0.0952381
85, 0.2, 0.2, 0.2, 0.2, 0.0952381
86, 0.2, 0.2, 0.2, 0.2, 0.0952381
87, 0.2, 0.2, 0.2, 0.2, 0.0952381
88, 0.2, 0.2, 0.2, 0.2, 0.0952381
89, 0.2, 0.2, 0.2, 0.2, 0.0952381
90, 0.2, 0.2, 0.2, 0.2, 0.0952381
91, 0.2, 0.2, 0.2, 0.2, 0.0952381
92, 0.2, 0.2, 0.2, 0.2, 0.0952381
93, 0.2, 0.2, 0.2, 0.2, 0.0952381
94, 0.2, 0.2, 0.2, 0.2, 0.0952381
95, 0.2, 0.2, 0.2, 0.2, 0.0952381
96, 0.2, 0.2, 0.2, 0.2, 0.0952381
97, 0.2, 0.2, 0.2, 0.2, 0.0952381
98, 0.2, 0.2, 0.2, 0.2, 0.0952381
99, 0.2, 0.2, 0.2, 0.2, 0.0952381
100, 0.2, 0.2, 0.2, 0.2, 0.0952381
101, 0.2, 0.2, 0.2, 0.2, 0.0952381
102, 0.2, 0.2, 0.2, 0.2, 0.0952381
103, 0.2, 0.2, 0.2, 0.2, 0.0952381
104, 0.2, 0.2, 0.2, 0.2, 0.0952381
105, 0.2, 0.2, 0.2, 0.2, 0.0952381
106, 0.2, 0.2, 0.2, 0.2, 0.0952381
107, 0.2, 0.2, 0.2, 0.2, 0.0952381
108, 0.2, 0.2, 0.2, 0.2, 0.0952381
109, 0.2, 0.2, 0.2, 0.2, 0.0952381
110, 0.2, 0.2, 0.2, 0.2, 0.0952381
111, 0.2, 0.2, 0.2, 0.2, 0.0952381
112, 0.2, 0.2, 0.2, 0.2, 0.0952381
113, 0.2, 0.2, 0.2, 0.2, 0.0952381
114, 0.2, 0.2, 0.2, 0.2, 0.0952381
115, 0.2, 0.2, 0.2, 0.2, 0.0952381
116, 0.2, 0.2, 0.2, 0.2, 0.0952381
117, 0.2, 0.2, 0.2, 0.2, 0.0952381
118, 0.2, 0.2, 0.2, 0.2, 0.0952381
119, 0.2, 0.2, 0.2, 0.2, 0.0952381
120, 0.2, 0.2, 0.2, 0.2, 0.0952381
121, 0.2, 0.2, 0.2, 0.2, 0.0952381
122, 0.2, 0.2, 0.2, 0.2, 0.0952381
123, 0.2, 0.2, 0.2, 0.2, 0.0952381
124, 0.2, 0.2, 0.2, 0.2, 0.0952381
125, 0.2, 0.2, 0.2, 0.2, 0.0952381
126, 0.2, 0.2, 0.2, 0.2, 0.0952381
127, 0.2, 0.2, 0.2, 0.2, 0.0952381
128, 0.2, 0.2, 0.2, 0.2, 0.0952381
129, 0.2, 0.2, 0.2, 0.2, 0.0952381
130, 0.2, 0.2, 0.2, 0.2, 0.0952381
131, 0.2, 0.2, 0.2, 0.2, 0.0952381
132, 0.2, 0.2, 0.2, 0.2, 0.0952381
133, 0.2, 0.2, 0.2, 0.2, 0.0952381
134, 0.2, 0.2, 0.2, 0.2, 0.0952381
135, 0.2, 0.2, 0.2, 0.2, 0.0952381
136, 0.2, 0.2, 0.2, 0.2, 0.0952381
137, 0.2, 0.2, 0.2, 0.2, 0.0952381
138, 0.2, 0.2, 0.2, 0.2, 0.0952381
139, 0.2, 0.2, 0.2, 0.2, 0.0952381
140, 0.2, 0.2, 0.2, 0.2, 0.0952381
141, 0.2, 0.2, 0.2, 0.2, 0.0952381
142, 0.2, 0.2, 0.2, 0.2, 0.0952381
143, 0.2, 0.2, 0.2, 0.2, 0.0952381
144, 0.2, 0.2, 0.2, 0.2, 0.0952381
145, 0.2, 0.2, 0.2, 0.2, 0.0952381
146, 0.2, 0.2, 0.2, 0.2, 0.0952381
147, 0.2, 0.2, 0.2, 0.2, 0.0952381
148, 0.2, 0.2, 0.2, 0.2, 0.0952381
149, 0.2, 0.2, 0.2, 0.2, 0.0952381
150, 0.2, 0.2, 0.2, 0.2, 0.0952381
151, 0.2, 0.2, 0.2, 0.2, 0.0952381
152, 0.2, 0.2, 0.2, 0.2, 0.0952381
153, 0.2, 0.2, 0.2, 0.2, 0.0952381
154, 0.2, 0.2, 0.2, 0.2, 0.0952381
155, 0.2, 0.2, 0.2, 0.2, 0.0952381
156, 0.2, 0.2, 0.2, 0.2, 0.0952381
157, 0.2, 0.2, 0.2, 0.2, 0.0952381
158, 0.2, 0.2, 0.2, 0.2, 0.0952381
159, 0.2, 0.2, 0.2, 0.2, 0.0952381
160, 0.2, 0.2, 0.2, 0.2, 0.0952381
161, 0.2, 0.2, 0.2, 0.2, 0.0952381
162, 0.2, 0.2, 0.2, 0.2, 0.0952381
163, 0.2, 0.2, 0.2, 0.2, 0.0952381
164, 0.2, 0.2, 0.2, 0.2, 0.0952381
165, 0.2, 0.2, 0.2, 0.2, 0.0952381
166, 0.2, 0.2, 0.2, 0.2, 0.0952381
167, 0.2, 0.2, 0.2, 0.2, 0.0952381
168, 0.2, 0.2, 0.2, 0.2, 0.0952381
169, 0.2, 0.2, 0.2, 0.2, 0.0952381
170, 0.2, 0.2, 0.2, 0.2, 0.0952381
171, 0.2, 0.2, 0.2, 0.2, 0.0952381
172, 0.2, 0.2, 0.2, 0.2, 0.0952381
173, 0.2, 0.2, 0.2, 0.2, 0.0952381
174, 0.2, 0.2, 0.2, 0.2, 0.0952381
175, 0.2, 0.2, 0.2, 0.2, 0.0952381
176, 0.2, 0.2, 0.2, 0.2, 0.0952381
177, 0.2, 0.2, 0.2, 0.2, 0.0952381
178, 0.2, 0.2, 0.2, 0.2, 0.0952381
179, 0.2, 0.2, 0.2, 0.2, 0.0952381
180, 0.2, 0.2, 0.2, 0.2, 0.0952381
181, 0.2, 0.2, 0.2, 0.2, 0.0952381
182, 0.2, 0.2, 0.2, 0.2, 0.0952381
183, 0.2, 0.2, 0.2, 0.2, 0.0952381
184, 0.2, 0.2, 0.2, 0.2, 0.0952381
185, 0.2, 0.2, 0.2, 0.2, 0.0952381
186, 0.2, 0.2, 0.2, 0.2, 0.0952381
187, 0.2, 0.2, 0.2, 0.2, 0.0952381
188, 0.2, 0.2, 0.2, 0.2, 0.0952381
189, 0.2, 0.2, 0.2, 0.2, 0.0952381
190, 0.2, 0.2, 0.2, 0.2, 0.0952381
191, 0.2, 0.2, 0.2, 0.2, 0.0952381
192, 0.2, 0.2, 0.2, 0.2, 0.0952381
193, 0.2, 0.2, 0.2, 0.2, 0.0952381
194, 0.2, 0.2, 0.2, 0.2, 0.0952381
195, 0.2, 0.2, 0.2, 0.2, 0.0952381
196, 0.2, 0.2, 0.2, 0.2, 0.0952381
197, 0.2, 0.2, 0.2, 0.2, 0.0952381
198, 0.2, 0.2, 0.2, 0.2, 0.0952381
199, 0.2, 0.2, 0.2, 0.2, 0.0952381
200, 0.2, 0.2, 0.2, 0.2, 0.0952381
201, 0.2, 0.2, 0.2, 0.2, 0.0952381
202, 0.2, 0.2, 0.2, 0.2, 0.0952381
203, 0.2, 0.2, 0.2, 0.2, 0.0952381
204, 0.2, 0.2, 0.2, 0.2, 0.0952381
205, 0.2, 0.2, 0.2, 0.2, 0.0952381
206, 0.2, 0.2, 0.2, 0.2, 0.0952381
207, 0.2, 0.2, 0.2, 0.2, 0.0952381
208, 0.2, 0.2, 0.2, 0.2, 0.0952381
209, 0.2, 0.2, 0.2, 0.2, 0.0952381
