generation, Top Error, Gen Error, Trial 0, Trial 1, Trial 2, Trial 3
49, 0.35852166267231, 0.360429354342759, 0.503173501549534, 0.230113551954816, 0.45580340963851, 0.252626954228174
50, 0.358218508766083, 0.358218508766083, 0.50415766016511, 0.226935439271992, 0.448663175182766, 0.253117760444463
51, 0.358217933110437, 0.358217933110437, 0.527529083131517, 0.210071425104121, 0.449789092150103, 0.245482132056007
52, 0.358217933110437, 0.360920402618071, 0.51802748605875, 0.214060460562308, 0.462012516402576, 0.24958114744865
53, 0.358213901722635, 0.358213901722635, 0.502666199713855, 0.209488570138887, 0.472525695581223, 0.248175141456576
54, 0.357826656005586, 0.357826656005586, 0.512344486153442, 0.204780545169466, 0.470328874523136, 0.243852718176302
55, 0.357826656005586, 0.357909163354134, 0.505808484469819, 0.229590545255128, 0.444922617338692, 0.251315006352895
56, 0.354752279591086, 0.354752279591086, 0.4903737286874, 0.208182924853808, 0.466985044918312, 0.253467419904827
57, 0.354752279591086, 0.355769919695491, 0.506224142443039, 0.225181240690431, 0.449692452201556, 0.241981843446938
58, 0.354752279591086, 0.355137981578956, 0.509964523985572, 0.206977238905864, 0.457247130234426, 0.246363033189964
59, 0.352831057570121, 0.352831057570121, 0.50529481579738, 0.204087293113498, 0.45520688734205, 0.246735234027557
60, 0.352831057570121, 0.355119550700633, 0.514981900047763, 0.214404269747362, 0.447243127998003, 0.243848905009405
61, 0.352831057570121, 0.353144692373367, 0.493285302431306, 0.20915780332247, 0.460351921939389, 0.249783741800301
62, 0.352831057570121, 0.353604229711504, 0.499760066721362, 0.210886495970101, 0.450980230159576, 0.252790125994978
63, 0.352413219171242, 0.352413219171242, 0.503541003084713, 0.20577265268427, 0.453535330024034, 0.246803890891949
64, 0.351480878448582, 0.351480878448582, 0.501697784549177, 0.212332732586914, 0.447482920587145, 0.244410076071091
65, 0.351480878448582, 0.351506804570906, 0.511414079074878, 0.188328774035098, 0.461646730423876, 0.244637634749771
66, 0.351480878448582, 0.351598235072116, 0.510472481798371, 0.207899156868748, 0.443697677193496, 0.244323624427846
67, 0.351480878448582, 0.354091194493226, 0.393927341967587, 0.168305111011008, 0.657009649377715, 0.197122675616593
68, 0.346240995638636, 0.346240995638636, 0.379305611946007, 0.161449812463859, 0.652619780707949, 0.191588777436729
69, 0.337844486486553, 0.337844486486553, 0.375844252201131, 0.157417405341923, 0.627766432723581, 0.190349855679577
70, 0.331083207410835, 0.331083207410835, 0.372814949857495, 0.149456573118413, 0.616444544398847, 0.185616762268586
71, 0.329220377425097, 0.329220377425097, 0.3827416586914, 0.154840370282878, 0.592869957821608, 0.186429522904502
72, 0.320138943613488, 0.320138943613488, 0.385173558812478, 0.135152779772506, 0.578719533789505, 0.181509902079463
73, 0.315968938136752, 0.315968938136752, 0.386065687696701, 0.12845182878318, 0.563329274429014, 0.186028961638111
74, 0.308637015975552, 0.308637015975552, 0.393073452690814, 0.124297458150396, 0.538027919054729, 0.179149234006267
75, 0.300440536093984, 0.300440536093984, 0.381893788969382, 0.108568583449821, 0.535277116343376, 0.176022655613355
76, 0.298242349627069, 0.298242349627069, 0.371596491649141, 0.107124623459486, 0.532189444168961, 0.182058839230687
77, 0.293403947765786, 0.293403947765786, 0.362831402535421, 0.105329407014433, 0.527826267667475, 0.177628713845816
78, 0.288869609047652, 0.288869609047652, 0.370351948703515, 0.105954890845793, 0.502453177090938, 0.176718419550361
79, 0.288869609047652, 0.289164540158587, 0.370618738457214, 0.105596968505921, 0.503080045840621, 0.177362407830592
80, 0.288866403053009, 0.288866403053009, 0.35928387826639, 0.108556187411583, 0.504990799940451, 0.182634746593611
